Model,MAE,RMSE,R²
Linear Regression,4.176590736069106,6.504410690902987,0.9744908345378135
Decision Tree,0.08415693321353698,1.9375546442361358,0.9977364595486076
Random Forest,0.08944893680742742,1.610395781547355,0.9984363282525895
Gradient Boosting,0.8315149762733164,1.7877158902236188,0.9980730194030508
SVR (RBF Kernel),1.9000922023881297,14.94673732564453,0.865298278697807
